t_readout_s,T_K,P_err_default,P_err_small_barrier
1.801805e-09,9.14110,4.901270e-01,3.001247e-01
1.801805e-09,9.32192,4.892869e-01,3.027603e-01
1.801805e-09,9.50274,4.884148e-01,3.053697e-01
1.801805e-09,9.68356,4.875119e-01,3.079506e-01
1.801805e-09,9.86438,4.865794e-01,3.105006e-01
2.418587e-09,0.10000,5.000000e-01,5.000000e-01
2.418587e-09,0.28082,5.000000e-01,4.999950e-01
2.418587e-09,0.46164,5.000000e-01,4.993586e-01
2.418587e-09,0.64247,5.000000e-01,4.946682e-01
2.418587e-09,0.82329,5.000000e-01,4.826843e-01
2.418587e-09,1.00411,5.000000e-01,4.636511e-01
2.418587e-09,1.18493,5.000000e-01,4.398827e-01
2.418587e-09,1.36575,5.000000e-01,4.139107e-01
2.418587e-09,1.54658,5.000000e-01,3.876922e-01
2.418587e-09,1.72740,5.000000e-01,3.625038e-01
2.418587e-09,1.90822,5.000000e-01,3.390806e-01
2.418587e-09,2.08904,5.000000e-01,3.177887e-01
2.418587e-09,2.26986,5.000000e-01,2.987617e-01
2.418587e-09,2.45068,4.999999e-01,2.819945e-01
2.418587e-09,2.63151,4.999998e-01,2.674030e-01
2.418587e-09,2.81233,4.999994e-01,2.548606e-01
2.418587e-09,2.99315,4.999985e-01,2.442201e-01
2.418587e-09,3.17397,4.999967e-01,2.353267e-01
2.418587e-09,3.35479,4.999933e-01,2.280252e-01
2.418587e-09,3.53562,4.999876e-01,2.221655e-01
2.418587e-09,3.71644,4.999783e-01,2.176039e-01
2.418587e-09,3.89726,4.999640e-01,2.142055e-01
2.418587e-09,4.07808,4.999429e-01,2.118447e-01
2.418587e-09,4.25890,4.999129e-01,2.104050e-01
2.418587e-09,4.43973,4.998717e-01,2.097794e-01
2.418587e-09,4.62055,4.998166e-01,2.098702e-01
2.418587e-09,4.80137,4.997449e-01,2.105881e-01
2.418587e-09,4.98219,4.996536e-01,2.118526e-01
2.418587e-09,5.16301,4.995396e-01,2.135906e-01
2.418587e-09,5.34384,4.994000e-01,2.157366e-01
2.418587e-09,5.52466,4.992317e-01,2.182315e-01
2.418587e-09,5.70548,4.990318e-01,2.210228e-01
2.418587e-09,5.88630,4.987973e-01,2.240634e-01
2.418587e-09,6.06712,4.985256e-01,2.273117e-01
2.418587e-09,6.24795,4.982142e-01,2.307305e-01
2.418587e-09,6.42877,4.978609e-01,2.342870e-01
2.418587e-09,6.60959,4.974636e-01,2.379524e-01
2.418587e-09,6.79041,4.970206e-01,2.417012e-01
2.418587e-09,6.97123,4.965304e-01,2.455111e-01
2.418587e-09,7.15205,4.959918e-01,2.493626e-01
2.418587e-09,7.33288,4.954039e-01,2.532386e-01
2.418587e-09,7.51370,4.947660e-01,2.571244e-01
2.418587e-09,7.69452,4.940778e-01,2.610072e-01
2.418587e-09,7.87534,4.933391e-01,2.648758e-01
2.418587e-09,8.05616,4.925502e-01,2.687209e-01
2.418587e-09,8.23699,4.917114e-01,2.725342e-01
2.418587e-09,8.41781,4.908233e-01,2.763089e-01
2.418587e-09,8.59863,4.898869e-01,2.800393e-01
2.418587e-09,8.77945,4.889029e-01,2.837205e-01
2.418587e-09,8.96027,4.878728e-01,2.873484e-01
2.418587e-09,9.14110,4.867979e-01,2.909197e-01
2.418587e-09,9.32192,4.856796e-01,2.944320e-01
2.418587e-09,9.50274,4.845196e-01,2.978830e-01
2.418587e-09,9.68356,4.833197e-01,3.012713e-01
2.418587e-09,9.86438,4.820816e-01,3.045957e-01
3.246501e-09,0.10000,5.000000e-01,5.000000e-01
3.246501e-09,0.28082,5.000000e-01,4.999933e-01
3.246501e-09,0.46164,5.000000e-01,4.991392e-01
3.246501e-09,0.64247,5.000000e-01,4.928561e-01
3.246501e-09,0.82329,5.000000e-01,4.768957e-01
3.246501e-09,1.00411,5.000000e-01,4.518255e-01
3.246501e-09,1.18493,5.000000e-01,4.210108e-01
3.246501e-09,1.36575,5.000000e-01,3.879878e-01
3.246501e-09,1.54658,5.000000e-01,3.553704e-01
3.246501e-09,1.72740,5.000000e-01,3.247558e-01
3.246501e-09,1.90822,5.000000e-01,2.969707e-01
3.246501e-09,2.08904,5.000000e-01,2.723450e-01
3.246501e-09,2.26986,5.000000e-01,2.509171e-01
3.246501e-09,2.45068,4.999999e-01,2.325678e-01
3.246501e-09,2.63151,4.999997e-01,2.170992e-01
3.246501e-09,2.81233,4.999991e-01,2.042804e-01
3.246501e-09,2.99315,4.999979e-01,1.938716e-01
3.246501e-09,3.17397,4.999955e-01,1.856372e-01
3.246501e-09,3.35479,4.999910e-01,1.793520e-01
3.246501e-09,3.53562,4.999834e-01,1.748045e-01
