sweep_type,param_value,T_opt_K,F_opt
barrier_gap,4.137,3.6162581290645326,0.9999934529191963
barrier_gap,4.233,3.4280640320160085,0.9999976799781726
barrier_gap,4.329,3.229964982491246,0.9999992916370968
barrier_gap,4.424,3.0269134567283644,0.9999998200999861
barrier_gap,4.520,2.823861930965483,0.9999999638340824
barrier_gap,4.616,2.6109054527263633,0.9999999946161814
barrier_gap,4.712,2.3979489744872438,0.9999999994623563
barrier_gap,4.808,2.175087543771886,0.999999999968897
barrier_gap,4.904,1.9423211605802904,0.9999999999991732
barrier_gap,5.000,1.7046023011505755,0.9999999999999932
DeltaU0_sweep,1.000,nan,nan
DeltaU0_sweep,1.286,nan,nan
DeltaU0_sweep,1.571,nan,nan
DeltaU0_sweep,1.857,nan,nan
DeltaU0_sweep,2.143,nan,nan
DeltaU0_sweep,2.429,nan,nan
DeltaU0_sweep,2.714,0.7289644822411206,0.9999999999999931
DeltaU0_sweep,3.000,1.41735867933967,0.9999998881135037
DeltaU0_sweep,3.286,2.0413706853426716,0.9999788617598951
DeltaU0_sweep,3.571,2.625762881440721,0.9997123906692039
DeltaU0_sweep,3.857,3.1903451725862935,0.9986183842400015
DeltaU0_sweep,4.143,3.740070035017509,0.996060856149294
DeltaU0_sweep,4.429,4.279889944972486,0.9916762593644708
DeltaU0_sweep,4.714,4.804852426213107,0.9854318576327139
DeltaU0_sweep,5.000,5.324862431215608,0.9775243722112094
DeltaU0_sweep,5.286,5.834967483741871,0.9682664365230439
DeltaU0_sweep,5.571,6.340120060030015,0.9579958724036483
DeltaU0_sweep,5.857,6.8452726363181595,0.9470316816964922
DeltaU0_sweep,6.143,7.345472736368184,0.9356454253951307
DeltaU0_sweep,6.429,7.84072036018009,0.9240603178752503
DeltaU0_sweep,6.714,8.335967983991996,0.9124503595823579
DeltaU0_sweep,7.000,8.826263131565783,0.9009485578869276
DeltaU0_sweep,7.286,9.31655827913957,0.8896515034435323
DeltaU0_sweep,7.571,9.801900950475238,0.8786292650563455
DeltaU0_sweep,7.857,nan,nan
DeltaU0_sweep,8.143,nan,nan
DeltaU0_sweep,8.429,nan,nan
DeltaU0_sweep,8.714,nan,nan
DeltaU0_sweep,9.000,nan,nan
DeltaU0_sweep,9.286,nan,nan
DeltaU0_sweep,9.571,nan,nan
DeltaU0_sweep,9.857,nan,nan
DeltaU0_sweep,10.143,nan,nan
DeltaU0_sweep,10.429,nan,nan
DeltaU0_sweep,10.714,nan,nan
DeltaU0_sweep,11.000,nan,nan
DeltaU0_sweep,11.286,nan,nan
DeltaU0_sweep,11.571,nan,nan
DeltaU0_sweep,11.857,nan,nan
DeltaU0_sweep,12.143,nan,nan
DeltaU0_sweep,12.429,nan,nan
DeltaU0_sweep,12.714,nan,nan
DeltaU0_sweep,13.000,nan,nan
DeltaU0_sweep,13.286,nan,nan
DeltaU0_sweep,13.571,nan,nan
DeltaU0_sweep,13.857,nan,nan
DeltaU0_sweep,14.143,nan,nan
DeltaU0_sweep,14.429,nan,nan
DeltaU0_sweep,14.714,nan,nan
DeltaU0_sweep,15.000,nan,nan
Gamma_attempt,1.000e+06,nan,nan
Gamma_attempt,1.343e+06,nan,nan
Gamma_attempt,1.805e+06,nan,nan
Gamma_attempt,2.424e+06,nan,nan
Gamma_attempt,3.257e+06,nan,nan
Gamma_attempt,4.375e+06,nan,nan
Gamma_attempt,5.878e+06,nan,nan
Gamma_attempt,7.897e+06,nan,nan
Gamma_attempt,1.061e+07,nan,nan
Gamma_attempt,1.425e+07,nan,nan
Gamma_attempt,1.914e+07,nan,nan
Gamma_attempt,2.572e+07,nan,nan
Gamma_attempt,3.455e+07,nan,nan
Gamma_attempt,4.642e+07,nan,nan
Gamma_attempt,6.236e+07,nan,nan
Gamma_attempt,8.377e+07,nan,nan
Gamma_attempt,1.125e+08,nan,nan
Gamma_attempt,1.512e+08,9.747423711855928,0.8776961627208352
Gamma_attempt,2.031e+08,9.222461230615307,0.890184174386627
Gamma_attempt,2.728e+08,8.742071035517759,0.9016755187534621
Gamma_attempt,3.665e+08,8.311205602801401,0.912203413502211
Gamma_attempt,4.924e+08,7.915007503751876,0.9218079220055275
Gamma_attempt,6.615e+08,7.553476738369185,0.9305353392504672
Gamma_attempt,8.886e+08,7.221660830415208,0.9384357531251301
Gamma_attempt,1.194e+09,6.9146073036518265,0.9455620184270824
Gamma_attempt,1.604e+09,6.63231615807904,0.9519679820735597
Gamma_attempt,2.154e+09,6.369834917458729,0.957708073026917
Gamma_attempt,2.894e+09,6.127163581790896,0.9628355496177226
Gamma_attempt,3.888e+09,5.899349674837419,0.96740311937791
Gamma_attempt,5.223e+09,5.686393196598299,0.9714601640243741
Gamma_attempt,7.017e+09,5.488294147073537,0.9750547734023047
Gamma_attempt,9.427e+09,5.305052526263132,0.9782323562212104
Gamma_attempt,1.266e+10,5.131715857928965,0.9810340839594771
Gamma_attempt,1.701e+10,4.9682841420710355,0.9834994422711455
Gamma_attempt,2.285e+10,4.814757378689345,0.9856642058833475
Gamma_attempt,3.070e+10,4.666183091545773,0.9875608290285889
Gamma_attempt,4.125e+10,4.532466233116558,0.989221344967034
Gamma_attempt,5.541e+10,4.403701850925462,0.9906704634313693
Gamma_attempt,7.444e+10,4.279889944972486,0.9919346747404767
Gamma_attempt,1.000e+11,4.161030515257629,0.9930345617986243
drive_A,0.000,7.84567283641821,0.9009485422732446
drive_A,0.077,7.731765882941471,0.9077654810998615
drive_A,0.154,7.617858929464733,0.9143811354750938
drive_A,0.231,7.503951975987994,0.9207843704856224
drive_A,0.308,7.385092546273137,0.9269646322279544
drive_A,0.385,7.271185592796399,0.9329123567804338
drive_A,0.462,7.152326163081541,0.9386170890889488
drive_A,0.538,7.038419209604803,0.9440709680489664
drive_A,0.615,6.919559779889945,0.9492661927985648
drive_A,0.692,6.800700350175088,0.9541956735563644
drive_A,0.769,6.6768884442221115,0.9588540408809495
drive_A,0.846,6.5580290145072535,0.9632371744375186
drive_A,0.923,6.434217108554277,0.9673411612602864
drive_A,1.000,6.31535767883942,0.9711652722542087
drive_A,1.077,6.191545772886443,0.9747090606049215
drive_A,1.154,6.067733866933467,0.9779738127636017
drive_A,1.231,5.938969484742372,0.9809632697045835
drive_A,1.308,5.815157578789395,0.9836815366741378
drive_A,1.385,5.686393196598299,0.9861356769185784
drive_A,1.462,5.557628814407204,0.9883335379395021
drive_A,1.538,5.428864432216108,0.9902850315481015
drive_A,1.615,5.295147573786894,0.9920016131502624
drive_A,1.692,5.166383191595798,0.9934962719051215
drive_A,1.769,5.032666333166583,0.9947830707302054
drive_A,1.846,4.8989494747373685,0.9958772273360535
drive_A,1.923,4.760280140070035,0.9967951193761421
drive_A,2.000,4.626563281640821,0.9975535508242784
drive_A,2.077,4.487893946973487,0.9981698842597372
drive_A,2.154,4.344272136068034,0.998661363121647
drive_A,2.231,4.2056028014007,0.9990453463786673
drive_A,2.308,4.061980990495248,0.9993381845093005
drive_A,2.385,3.918359179589795,0.9995556997236817
drive_A,2.462,3.7747373686843426,0.9997123971314678
drive_A,2.538,3.6261630815407706,0.9998214805832544
drive_A,2.615,3.477588794397199,0.9998943928438963
drive_A,2.692,3.324062031015508,0.9999409395677723
drive_A,2.769,3.1705352676338174,0.9999690655511524
drive_A,2.846,3.0170085042521264,0.9999850065394146
drive_A,2.923,2.8585292646323164,0.9999933780383797
drive_A,3.000,2.700050025012507,0.99999738508449
